recipe_id,method,step_no,instruction
1,method_1,1,"Rinse quinoa thoroughly under running water to remove bitterness."
1,method_1,2,"Wash moong dal and soak for 15 minutes for faster cooking."
1,method_1,3,"Add quinoa and dal to a pressure cooker with 2 cups water and cook for 3 whistles."
1,method_1,4,"Heat olive oil in a pan and add cumin seeds until they crackle."
1,method_1,5,"Add chopped ginger and garlic and sauté until aromatic."
1,method_1,6,"Add chopped carrots and spinach and cook until soft."
1,method_1,7,"Mix cooked quinoa-dal with vegetables, adjust salt, and garnish with coriander."

1,method_2,1,"Pressure cook quinoa and moong dal together with water."
1,method_2,2,"Prepare a separate tempering with olive oil, cumin seeds, garlic, and ginger."
1,method_2,3,"Add sautéed vegetables to cooked quinoa mixture."
1,method_2,4,"Simmer for 5 minutes and serve hot."

2,method_1,1,"Wash brown rice and soak for 20 minutes."
2,method_1,2,"Cook rice in a pressure cooker until grains are separate."
2,method_1,3,"Heat olive oil and sauté onions, capsicum, and peas."
2,method_1,4,"Add turmeric, cumin seeds, and salt."
2,method_1,5,"Mix cooked rice and gently toss."
2,method_1,6,"Garnish with coriander leaves."

2,method_2,1,"Pressure cook soaked brown rice."
2,method_2,2,"Prepare vegetable masala separately."
2,method_2,3,"Mix masala into rice and steam for 5 minutes."

3,method_1,1,"Wash fresh spinach leaves thoroughly in clean water to remove dirt."
3,method_1,2,"Boil water in a pan and blanch spinach for 2 minutes until soft."
3,method_1,3,"Immediately transfer spinach to cold water to retain green color."
3,method_1,4,"Blend blanched spinach into a smooth puree without adding water."
3,method_1,5,"Heat olive oil in a pan and add cumin seeds."
3,method_1,6,"Add finely chopped garlic and sauté until lightly golden."
3,method_1,7,"Pour in spinach puree and cook on low flame for 3 minutes."
3,method_1,8,"Add turmeric powder, salt, and mix well."
3,method_1,9,"Add low-fat paneer cubes and gently mix."
3,method_1,10,"Simmer for 2 minutes and serve hot."

3,method_2,1,"Steam spinach leaves instead of boiling for better nutrition."
3,method_2,2,"Blend spinach with ginger and garlic for enhanced flavor."
3,method_2,3,"Heat olive oil, add spices, and mix spinach puree."
3,method_2,4,"Add paneer cubes and cook for 3 minutes before serving."

4,method_1,1,"Rinse lentils thoroughly and soak them for 20 minutes."
4,method_1,2,"Add lentils to a pressure cooker with turmeric and salt."
4,method_1,3,"Pressure cook for 3 whistles until lentils are soft."
4,method_1,4,"Heat olive oil in a small pan and add cumin seeds."
4,method_1,5,"Add chopped garlic and sauté until fragrant."
4,method_1,6,"Add curry leaves and pour tempering over cooked lentils."
4,method_1,7,"Simmer for 5 minutes and add lemon juice before serving."

4,method_2,1,"Boil lentils in an open pot for slow cooking."
4,method_2,2,"Skim off foam that forms on top while boiling."
4,method_2,3,"Prepare tempering separately and mix before serving."

5,method_1,1,"Soak dried chickpeas overnight in sufficient water."
5,method_1,2,"Pressure cook soaked chickpeas until soft."
5,method_1,3,"Chop cucumber, tomatoes, and carrots into small cubes."
5,method_1,4,"Add cooked chickpeas to a mixing bowl."
5,method_1,5,"Add chopped vegetables and mix gently."
5,method_1,6,"Add lemon juice, salt, and black pepper."
5,method_1,7,"Toss everything well and serve fresh."

5,method_2,1,"Use canned chickpeas for faster preparation."
5,method_2,2,"Rinse canned chickpeas thoroughly before use."
5,method_2,3,"Mix with vegetables and seasoning and chill before serving."

6,method_1,1,"Heat a heavy pan and dry roast semolina on low flame."
6,method_1,2,"Stir continuously to avoid burning until aromatic."
6,method_1,3,"Heat olive oil in another pan and add mustard seeds."
6,method_1,4,"Add curry leaves, green chilies, and chopped onions."
6,method_1,5,"Add chopped vegetables and sauté until soft."
6,method_1,6,"Add roasted semolina and mix well."
6,method_1,7,"Slowly add boiling water while stirring continuously."
6,method_1,8,"Cover and cook for 5 minutes until fluffy."

6,method_2,1,"Roast semolina in advance and store."
6,method_2,2,"Use pressure cooker for quicker cooking."
6,method_2,3,"Add water, close lid, and cook for one whistle."

7,method_1,1,"Grate cucumber and squeeze excess water."
7,method_1,2,"Add grated cucumber to low-fat yogurt."
7,method_1,3,"Add roasted cumin powder and salt."
7,method_1,4,"Mix well until smooth and creamy."
7,method_1,5,"Refrigerate for 15 minutes before serving."

7,method_2,1,"Blend cucumber and yogurt for smoother texture."
7,method_2,2,"Add mint leaves for extra freshness."

8,method_1,1,"Wash tomatoes and make a cross cut at the base."
8,method_1,2,"Boil tomatoes until skin peels off easily."
8,method_1,3,"Remove skin and blend tomatoes into puree."
8,method_1,4,"Heat olive oil and add garlic and cumin seeds."
8,method_1,5,"Add tomato puree, turmeric, and salt."
8,method_1,6,"Simmer on low flame for 10 minutes."
8,method_1,7,"Serve hot with toasted bread."

8,method_2,1,"Roast tomatoes instead of boiling for smoky flavor."
8,method_2,2,"Blend roasted tomatoes and follow same steps."

9,method_1,1,"Wash and peel carrots thoroughly."
9,method_1,2,"Grate carrots finely."
9,method_1,3,"Heat milk in a pan and add grated carrots."
9,method_1,4,"Cook on low flame until carrots soften."
9,method_1,5,"Add stevia and cardamom powder."
9,method_1,6,"Cook until mixture thickens slightly."

9,method_2,1,"Steam carrots before cooking to reduce milk usage."
9,method_2,2,"Mash carrots slightly for smoother texture."

10,method_1,1,"Wash capsicum thoroughly and remove seeds."
10,method_1,2,"Cut capsicum into thin strips for even cooking."
10,method_1,3,"Heat olive oil in a pan on medium flame."
10,method_1,4,"Add cumin seeds and let them crackle."
10,method_1,5,"Add chopped garlic and sauté until light golden."
10,method_1,6,"Add capsicum strips and toss well."
10,method_1,7,"Add salt and black pepper and mix evenly."
10,method_1,8,"Cook uncovered for 6 to 8 minutes until slightly crunchy."
10,method_1,9,"Switch off flame and serve hot."

10,method_2,1,"Air fry capsicum with olive oil and spices at 180°C for 10 minutes."
10,method_2,2,"Shake basket halfway and serve immediately."

11,method_1,1,"Rinse brown rice thoroughly and soak for 30 minutes."
11,method_1,2,"Heat olive oil in a pressure cooker."
11,method_1,3,"Add cumin seeds, bay leaf, and sliced onions."
11,method_1,4,"Sauté onions until translucent."
11,method_1,5,"Add chopped vegetables and sauté for 2 minutes."
11,method_1,6,"Add soaked rice, salt, and water."
11,method_1,7,"Pressure cook for 2 whistles."
11,method_1,8,"Let pressure release naturally and fluff rice."

11,method_2,1,"Use electric rice cooker for cooking brown rice."
11,method_2,2,"Prepare vegetable sauté separately and mix before serving."

12,method_1,1,"Wash moong dal thoroughly until water runs clear."
12,method_1,2,"Soak dal for 20 minutes for faster cooking."
12,method_1,3,"Add dal, turmeric, and water to pressure cooker."
12,method_1,4,"Cook for 3 whistles until soft."
12,method_1,5,"Heat olive oil in pan and add mustard seeds."
12,method_1,6,"Add curry leaves and chopped garlic."
12,method_1,7,"Pour tempering over dal and simmer for 5 minutes."

12,method_2,1,"Boil dal in open pot while stirring occasionally."
12,method_2,2,"Blend lightly for creamy consistency."

13,method_1,1,"Wash and chop tomatoes finely."
13,method_1,2,"Heat olive oil and add cumin seeds."
13,method_1,3,"Add chopped onions and sauté till golden."
13,method_1,4,"Add tomatoes and cook until soft and mushy."
13,method_1,5,"Add turmeric, salt, and red chili powder."
13,method_1,6,"Simmer for 10 minutes until thick gravy forms."

13,method_2,1,"Use canned tomatoes for faster cooking."
13,method_2,2,"Blend tomatoes before cooking for smooth texture."

14,method_1,1,"Wash carrots and beans thoroughly."
14,method_1,2,"Chop vegetables into small uniform pieces."
14,method_1,3,"Heat olive oil and add mustard seeds."
14,method_1,4,"Add curry leaves and green chilies."
14,method_1,5,"Add vegetables and sauté for 5 minutes."
14,method_1,6,"Add salt and cover with lid."
14,method_1,7,"Cook until vegetables are soft but not mushy."

14,method_2,1,"Steam vegetables first and lightly sauté later."
14,method_2,2,"Season with lemon juice before serving."

15,method_1,1,"Wash cucumber and peel partially."
15,method_1,2,"Grate cucumber finely and squeeze water."
15,method_1,3,"Add grated cucumber to yogurt."
15,method_1,4,"Add roasted cumin powder and salt."
15,method_1,5,"Mix well and refrigerate before serving."

15,method_2,1,"Blend cucumber and yogurt for smooth raita."
15,method_2,2,"Add mint leaves for refreshing taste."

16,method_1,1,"Wipe mushrooms clean using damp cloth."
16,method_1,2,"Slice mushrooms evenly."
16,method_1,3,"Heat olive oil in pan and add garlic."
16,method_1,4,"Add mushrooms and sauté on high flame."
16,method_1,5,"Add salt and pepper and toss well."
16,method_1,6,"Cook until mushrooms release water and dry up."

16,method_2,1,"Grill mushrooms in oven at 200°C for 12 minutes."
16,method_2,2,"Toss with herbs before serving."

17,method_1,1,"Wash oats thoroughly."
17,method_1,2,"Dry roast oats on low flame until aromatic."
17,method_1,3,"Heat olive oil and add mustard seeds."
17,method_1,4,"Add onions and vegetables and sauté."
17,method_1,5,"Add roasted oats and boiling water."
17,method_1,6,"Cook covered for 5 minutes until soft."

17,method_2,1,"Use instant oats for quicker cooking."
17,method_2,2,"Microwave with vegetables and water."

18,method_1,1,"Wash apples and peel skin."
18,method_1,2,"Chop apples into small cubes."
18,method_1,3,"Heat pan and add chopped apples."
18,method_1,4,"Cook on low flame until soft."
18,method_1,5,"Add cinnamon powder and honey."
18,method_1,6,"Cool slightly and serve."

18,method_2,1,"Steam apples instead of cooking in pan."
18,method_2,2,"Mash apples lightly for puree texture."

19,method_1,1,"Wash sweet potatoes thoroughly under running water."
19,method_1,2,"Peel the skin and cut sweet potatoes into medium-sized cubes."
19,method_1,3,"Boil water in a pan and add sweet potato cubes."
19,method_1,4,"Cook for 10 to 12 minutes until fork-tender."
19,method_1,5,"Drain excess water and let sweet potatoes cool slightly."
19,method_1,6,"Heat olive oil in a pan on medium flame."
19,method_1,7,"Add cumin seeds and let them crackle."
19,method_1,8,"Add boiled sweet potatoes, salt, and black pepper."
19,method_1,9,"Toss gently and cook for 3 to 4 minutes."
19,method_1,10,"Switch off flame and serve warm."

19,method_2,1,"Steam sweet potatoes instead of boiling to retain nutrients."
19,method_2,2,"Air fry sweet potatoes with olive oil at 180°C for 12 minutes."
19,method_2,3,"Sprinkle spices and serve immediately."

20,method_1,1,"Wash bottle gourd thoroughly and peel the outer skin."
20,method_1,2,"Cut bottle gourd into small cubes and remove soft seeds."
20,method_1,3,"Heat olive oil in a pressure cooker."
20,method_1,4,"Add mustard seeds and allow them to splutter."
20,method_1,5,"Add curry leaves and chopped green chilies."
20,method_1,6,"Add bottle gourd cubes and sauté for 2 minutes."
20,method_1,7,"Add salt and turmeric powder and mix well."
20,method_1,8,"Add a little water and pressure cook for 1 whistle."
20,method_1,9,"Let pressure release naturally and stir gently."
20,method_1,10,"Garnish with fresh coriander and serve hot."

20,method_2,1,"Cook bottle gourd in an open pan with lid covered."
20,method_2,2,"Stir occasionally to prevent sticking."
20,method_2,3,"Finish with lemon juice for enhanced taste."

21,method_1,1,"Wash spinach leaves thoroughly 2 to 3 times to remove dirt."
21,method_1,2,"Boil water in a pan and blanch spinach for 2 minutes."
21,method_1,3,"Immediately transfer spinach to cold water to retain color."
21,method_1,4,"Blend spinach into a smooth puree and keep aside."
21,method_1,5,"Heat olive oil in a pan on medium flame."
21,method_1,6,"Add chopped garlic and sauté until aromatic."
21,method_1,7,"Add spinach puree, salt, and black pepper."
21,method_1,8,"Cook for 4 to 5 minutes while stirring continuously."
21,method_1,9,"Adjust seasoning and switch off flame."
21,method_1,10,"Serve hot with roti or rice."

21,method_2,1,"Steam spinach instead of blanching."
21,method_2,2,"Sauté garlic and spinach together without blending."
21,method_2,3,"Serve as a chunky stir-fry."

22,method_1,1,"Rinse quinoa thoroughly under running water."
22,method_1,2,"Boil 2 cups water and add quinoa."
22,method_1,3,"Cook for 12 to 15 minutes until quinoa becomes fluffy."
22,method_1,4,"Heat olive oil in a pan."
22,method_1,5,"Add cumin seeds and let them crackle."
22,method_1,6,"Add chopped vegetables like carrot, beans, and capsicum."
22,method_1,7,"Sauté vegetables until slightly soft."
22,method_1,8,"Add cooked quinoa, salt, and pepper."
22,method_1,9,"Mix gently and cook for 2 minutes."
22,method_1,10,"Serve hot as a healthy meal."

22,method_2,1,"Cook quinoa in vegetable broth for extra flavor."
22,method_2,2,"Add lemon juice before serving."

23,method_1,1,"Soak chickpeas overnight in enough water."
23,method_1,2,"Pressure cook soaked chickpeas until soft."
23,method_1,3,"Heat olive oil in a pan."
23,method_1,4,"Add chopped onions and sauté until golden."
23,method_1,5,"Add ginger-garlic paste and cook for 1 minute."
23,method_1,6,"Add tomatoes and cook until oil separates."
23,method_1,7,"Add turmeric, cumin, and garam masala."
23,method_1,8,"Add boiled chickpeas and salt."
23,method_1,9,"Simmer for 8 to 10 minutes."
23,method_1,10,"Garnish with coriander leaves and serve."

23,method_2,1,"Use canned chickpeas for quicker cooking."
23,method_2,2,"Cook in a slow cooker for deeper flavor."

24,method_1,1,"Wash lentils thoroughly until water runs clear."
24,method_1,2,"Boil lentils with turmeric and salt until soft."
24,method_1,3,"Heat olive oil in a small pan."
24,method_1,4,"Add mustard seeds and let them splutter."
24,method_1,5,"Add curry leaves and chopped garlic."
24,method_1,6,"Pour tempering over cooked lentils."
24,method_1,7,"Mix well and simmer for 3 minutes."
24,method_1,8,"Adjust salt as needed."
24,method_1,9,"Garnish with coriander leaves."
24,method_1,10,"Serve hot with rice."

24,method_2,1,"Add tomatoes while boiling lentils for tangy taste."
24,method_2,2,"Finish with lemon juice before serving."

25,method_1,1,"Wash vegetables like carrot, beans, and cauliflower."
25,method_1,2,"Chop vegetables into equal-sized pieces."
25,method_1,3,"Heat olive oil in a pan."
25,method_1,4,"Add cumin seeds and let them crackle."
25,method_1,5,"Add vegetables and sauté for 5 minutes."
25,method_1,6,"Add salt, pepper, and turmeric."
25,method_1,7,"Add little water and cover with lid."
25,method_1,8,"Cook until vegetables are tender."
25,method_1,9,"Stir occasionally to avoid sticking."
25,method_1,10,"Serve hot as a side dish."

25,method_2,1,"Roast vegetables in oven at 200°C for 20 minutes."
25,method_2,2,"Drizzle olive oil and herbs before roasting."


26,method_1,1,"Wash vegetables and chop finely."
26,method_1,2,"Mix oats flour with spices and water to form batter."
26,method_1,3,"Add vegetables to batter and mix well."
26,method_1,4,"Heat non-stick pan and pour batter."
26,method_1,5,"Cook both sides until golden."

26,method_2,1,"Prepare thick batter using oats flour."
26,method_2,2,"Add grated vegetables and salt."
26,method_2,3,"Spread batter thinly on hot pan."
26,method_2,4,"Cook with minimal oil."
26,method_2,5,"Serve hot with chutney."

27,method_1,1,"Soak moong dal for 2 hours."
27,method_1,2,"Grind dal into smooth batter."
27,method_1,3,"Add salt and spices."
27,method_1,4,"Spread batter on hot pan."
27,method_1,5,"Cook until crisp."

27,method_2,1,"Use soaked split moong dal."
27,method_2,2,"Blend with ginger and chili."
27,method_2,3,"Add chopped onions."
27,method_2,4,"Cook like pancakes."
27,method_2,5,"Serve warm."

28,method_1,1,"Boil milk in a pan."
28,method_1,2,"Add ragi flour slowly."
28,method_1,3,"Stir continuously to avoid lumps."
28,method_1,4,"Cook until thick."
28,method_1,5,"Serve warm."

28,method_2,1,"Mix ragi flour in water."
28,method_2,2,"Cook mixture on low flame."
28,method_2,3,"Add jaggery or stevia."
28,method_2,4,"Stir until smooth."
28,method_2,5,"Serve hot."

29,method_1,1,"Prepare idli batter using brown rice."
29,method_1,2,"Ferment overnight."
29,method_1,3,"Grease idli molds."
29,method_1,4,"Pour batter into molds."
29,method_1,5,"Steam for 12 minutes."

29,method_2,1,"Use ready fermented batter."
29,method_2,2,"Pour batter into idli plates."
29,method_2,3,"Steam until fluffy."
29,method_2,4,"Cool slightly."
29,method_2,5,"Serve with chutney."

30,method_1,1,"Cook dal until soft."
30,method_1,2,"Add chopped vegetables."
30,method_1,3,"Add tamarind pulp and spices."
30,method_1,4,"Boil for 10 minutes."
30,method_1,5,"Add tempering and serve."

30,method_2,1,"Pressure cook dal and vegetables together."
30,method_2,2,"Add sambar powder."
30,method_2,3,"Simmer for few minutes."
30,method_2,4,"Prepare tempering separately."
30,method_2,5,"Mix and serve."

31,method_1,1,"Wash flattened rice."
31,method_1,2,"Heat oil and add mustard seeds."
31,method_1,3,"Add onions and vegetables."
31,method_1,4,"Add poha and mix gently."
31,method_1,5,"Garnish with lemon."

31,method_2,1,"Soak poha briefly."
31,method_2,2,"Prepare vegetable sauté."
31,method_2,3,"Add poha and spices."
31,method_2,4,"Cook for 3 minutes."
31,method_2,5,"Serve hot."

32,method_1,1,"Cut paneer into cubes."
32,method_1,2,"Marinate with yogurt and spices."
32,method_1,3,"Thread onto skewers."
32,method_1,4,"Grill until golden."
32,method_1,5,"Serve hot."

32,method_2,1,"Marinate paneer cubes."
32,method_2,2,"Place in oven tray."
32,method_2,3,"Bake at 200°C."
32,method_2,4,"Turn once while baking."
32,method_2,5,"Serve warm."

33,method_1,1,"Soak mixed sprouts overnight."
33,method_1,2,"Steam sprouts lightly."
33,method_1,3,"Add chopped vegetables."
33,method_1,4,"Add lemon juice and salt."
33,method_1,5,"Mix and serve."

33,method_2,1,"Use raw sprouts."
33,method_2,2,"Add cucumber and tomato."
33,method_2,3,"Season with spices."
33,method_2,4,"Mix well."
33,method_2,5,"Serve chilled."

34,method_1,1,"Peel and chop bottle gourd."
34,method_1,2,"Cook in water until soft."
34,method_1,3,"Blend into puree."
34,method_1,4,"Add salt and pepper."
34,method_1,5,"Simmer and serve."

34,method_2,1,"Pressure cook bottle gourd."
34,method_2,2,"Blend smoothly."
34,method_2,3,"Add seasoning."
34,method_2,4,"Boil for 3 minutes."
34,method_2,5,"Serve hot."

35,method_1,1,"Mix multigrain flour with water."
35,method_1,2,"Knead into soft dough."
35,method_1,3,"Roll into thin circles."
35,method_1,4,"Cook on hot tawa."
35,method_1,5,"Serve warm."

35,method_2,1,"Prepare dough in advance."
35,method_2,2,"Roll evenly."
35,method_2,3,"Cook without oil."
35,method_2,4,"Press lightly for puffing."
35,method_2,5,"Serve fresh."

36,method_1,1,"Wash and chop mixed vegetables."
36,method_1,2,"Heat oil in a pan and add cumin seeds."
36,method_1,3,"Add vegetables and sauté for 5 minutes."
36,method_1,4,"Add spices and salt."
36,method_1,5,"Cook until vegetables are tender."

36,method_2,1,"Steam vegetables lightly."
36,method_2,2,"Heat pan and add oil and spices."
36,method_2,3,"Add steamed vegetables."
36,method_2,4,"Toss well and cook for 2 minutes."
36,method_2,5,"Serve hot."

37,method_1,1,"Boil oats in milk."
37,method_1,2,"Add chopped apples."
37,method_1,3,"Add cinnamon powder."
37,method_1,4,"Cook until thick."
37,method_1,5,"Serve warm."

37,method_2,1,"Cook oats in water."
37,method_2,2,"Add apple puree."
37,method_2,3,"Mix honey and cinnamon."
37,method_2,4,"Simmer for 2 minutes."
37,method_2,5,"Serve hot."

38,method_1,1,"Add banana and peanut butter to blender."
38,method_1,2,"Pour milk into blender."
38,method_1,3,"Blend until smooth."
38,method_1,4,"Add ice cubes."
38,method_1,5,"Serve chilled."

38,method_2,1,"Mash banana in bowl."
38,method_2,2,"Add milk and peanut powder."
38,method_2,3,"Mix thoroughly."
38,method_2,4,"Add honey if needed."
38,method_2,5,"Serve immediately."

39,method_1,1,"Place vegetables between brown bread slices."
39,method_1,2,"Spread light butter."
39,method_1,3,"Grill sandwich until crisp."
39,method_1,4,"Cut into halves."
39,method_1,5,"Serve hot."

39,method_2,1,"Toast bread lightly."
39,method_2,2,"Add vegetables and seasoning."
39,method_2,3,"Close sandwich and toast again."
39,method_2,4,"Slice evenly."
39,method_2,5,"Serve warm."

40,method_1,1,"Cut tofu into cubes."
40,method_1,2,"Heat oil in pan."
40,method_1,3,"Add tofu and vegetables."
40,method_1,4,"Stir fry on high flame."
40,method_1,5,"Serve hot."

40,method_2,1,"Marinate tofu with spices."
40,method_2,2,"Bake in oven at 180°C."
40,method_2,3,"Add sautéed vegetables."
40,method_2,4,"Mix well."
40,method_2,5,"Serve warm."

41,method_1,1,"Wash broken wheat."
41,method_1,2,"Cook with vegetables in pressure cooker."
41,method_1,3,"Add salt and spices."
41,method_1,4,"Cook for 2 whistles."
41,method_1,5,"Serve hot."

41,method_2,1,"Roast broken wheat lightly."
41,method_2,2,"Add boiling water and vegetables."
41,method_2,3,"Cook covered until soft."
41,method_2,4,"Stir occasionally."
41,method_2,5,"Serve warm."

42,method_1,1,"Mix chia seeds with milk."
42,method_1,2,"Add honey and vanilla."
42,method_1,3,"Refrigerate overnight."
42,method_1,4,"Stir before serving."
42,method_1,5,"Top with fruits."

42,method_2,1,"Soak chia seeds for 4 hours."
42,method_2,2,"Add yogurt and honey."
42,method_2,3,"Mix thoroughly."
42,method_2,4,"Add nuts topping."
42,method_2,5,"Serve chilled."

43,method_1,1,"Bake sweet potatoes until soft."
43,method_1,2,"Peel and cube them."
43,method_1,3,"Add spices and lemon juice."
43,method_1,4,"Mix gently."
43,method_1,5,"Serve warm."

43,method_2,1,"Boil sweet potatoes."
43,method_2,2,"Cut into cubes."
43,method_2,3,"Add chaat masala."
43,method_2,4,"Mix well."
43,method_2,5,"Serve fresh."

44,method_1,1,"Boil green peas until soft."
44,method_1,2,"Blend into puree."
44,method_1,3,"Add salt and pepper."
44,method_1,4,"Simmer for 5 minutes."
44,method_1,5,"Serve hot."

44,method_2,1,"Cook peas in vegetable stock."
44,method_2,2,"Blend lightly."
44,method_2,3,"Add herbs."
44,method_2,4,"Simmer briefly."
44,method_2,5,"Serve warm."

45,method_1,1,"Prepare dough using wheat flour."
45,method_1,2,"Stuff with vegetable filling."
45,method_1,3,"Roll gently."
45,method_1,4,"Cook on hot pan with little oil."
45,method_1,5,"Serve hot."

45,method_2,1,"Prepare plain roti."
45,method_2,2,"Add vegetable filling later."
45,method_2,3,"Fold into wrap."
45,method_2,4,"Toast lightly."
45,method_2,5,"Serve warm."

46,method_1,1,"Mix wheat flour with chopped methi leaves."
46,method_1,2,"Add spices and knead dough."
46,method_1,3,"Roll thin theplas."
46,method_1,4,"Cook on tawa with little oil."
46,method_1,5,"Serve hot."

46,method_2,1,"Prepare dough earlier."
46,method_2,2,"Roll evenly."
46,method_2,3,"Cook without much oil."
46,method_2,4,"Store in container."
46,method_2,5,"Serve anytime."

47,method_1,1,"Boil corn kernels."
47,method_1,2,"Add chopped spinach."
47,method_1,3,"Add lemon juice and salt."
47,method_1,4,"Mix thoroughly."
47,method_1,5,"Serve fresh."

47,method_2,1,"Steam corn and spinach."
47,method_2,2,"Add olive oil."
47,method_2,3,"Season lightly."
47,method_2,4,"Mix well."
47,method_2,5,"Serve warm."

48,method_1,1,"Cook oats in milk."
48,method_1,2,"Add sweetener."
48,method_1,3,"Cook until thick."
48,method_1,4,"Add dry fruits."
48,method_1,5,"Serve warm."

48,method_2,1,"Pressure cook oats with milk."
48,method_2,2,"Add cardamom powder."
48,method_2,3,"Stir well."
48,method_2,4,"Garnish nuts."
48,method_2,5,"Serve hot."

49,method_1,1,"Soak chickpeas overnight."
49,method_1,2,"Grind into coarse paste."
49,method_1,3,"Shape into balls."
49,method_1,4,"Bake until crisp."
49,method_1,5,"Serve warm."

49,method_2,1,"Prepare falafel mixture."
49,method_2,2,"Air fry at 180°C."
49,method_2,3,"Turn halfway."
49,method_2,4,"Cook until golden."
49,method_2,5,"Serve hot."

50,method_1,1,"Boil water with vegetables."
50,method_1,2,"Add salt and pepper."
50,method_1,3,"Simmer for 8 minutes."
50,method_1,4,"Strain clear soup."
50,method_1,5,"Serve hot."

50,method_2,1,"Use vegetable stock."
50,method_2,2,"Add chopped vegetables."
50,method_2,3,"Cook briefly."
50,method_2,4,"Season lightly."
50,method_2,5,"Serve warm."

